file_path,file_name,split,class_name,species,width,height,aspect_ratio,mode,format,size_kb,is_valid
data\test\cat - abyssinian\Abyssinian_112_jpg.rf.45f54349cf0455f2c63bd0c47cc3391b.jpg,Abyssinian_112_jpg.rf.45f54349cf0455f2c63bd0c47cc3391b.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,9.517578125,True
data\test\cat - abyssinian\Abyssinian_148_jpg.rf.ec2466a94166146ff1970e3742e376d9.jpg,Abyssinian_148_jpg.rf.ec2466a94166146ff1970e3742e376d9.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,10.818359375,True
data\test\cat - abyssinian\Abyssinian_159_jpg.rf.fa545f942ed2aa72ecc2f57ee0a6ba8e.jpg,Abyssinian_159_jpg.rf.fa545f942ed2aa72ecc2f57ee0a6ba8e.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,7.2236328125,True
data\test\cat - abyssinian\Abyssinian_164_jpg.rf.399894d033602f1f0aae5d3d3471f675.jpg,Abyssinian_164_jpg.rf.399894d033602f1f0aae5d3d3471f675.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,9.4970703125,True
data\test\cat - abyssinian\Abyssinian_165_jpg.rf.9291aac5e786aa31c695321a37bb4b67.jpg,Abyssinian_165_jpg.rf.9291aac5e786aa31c695321a37bb4b67.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,14.283203125,True
data\test\cat - abyssinian\Abyssinian_168_jpg.rf.f48b40838d33b43a81385c4177947371.jpg,Abyssinian_168_jpg.rf.f48b40838d33b43a81385c4177947371.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,7.0068359375,True
data\test\cat - abyssinian\Abyssinian_212_jpg.rf.f6de21184030631d5eef8bcaf1cfdc5e.jpg,Abyssinian_212_jpg.rf.f6de21184030631d5eef8bcaf1cfdc5e.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,7.986328125,True
data\test\cat - abyssinian\Abyssinian_30_jpg.rf.cd3b1d5c1a047c6887c9d2c56cbcdfc8.jpg,Abyssinian_30_jpg.rf.cd3b1d5c1a047c6887c9d2c56cbcdfc8.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,6.2841796875,True
data\test\cat - abyssinian\Abyssinian_40_jpg.rf.8c3184edfa82471d3bacdff4fe591c4b.jpg,Abyssinian_40_jpg.rf.8c3184edfa82471d3bacdff4fe591c4b.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,10.744140625,True
data\test\cat - abyssinian\Abyssinian_67_jpg.rf.0cea7d0d001cde4bd08d18ed0e5e8ef7.jpg,Abyssinian_67_jpg.rf.0cea7d0d001cde4bd08d18ed0e5e8ef7.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,6.4521484375,True
data\test\cat - abyssinian\Abyssinian_81_jpg.rf.33556a0dd7feabc900fdcfcaef0074fd.jpg,Abyssinian_81_jpg.rf.33556a0dd7feabc900fdcfcaef0074fd.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,9.6318359375,True
data\test\cat - abyssinian\Abyssinian_95_jpg.rf.7f9d4342d198babac05e36026813f6ab.jpg,Abyssinian_95_jpg.rf.7f9d4342d198babac05e36026813f6ab.jpg,test,cat - abyssinian,cat,224,224,1.0,RGB,JPEG,8.5908203125,True
data\test\cat - american shorthair\6268055_20131231121251_jpg.rf.4a6e4138e25eaa1e8c03f86e0e2f46e5.jpg,6268055_20131231121251_jpg.rf.4a6e4138e25eaa1e8c03f86e0e2f46e5.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,7.439453125,True
data\test\cat - american shorthair\adorable-female-american-shorthair-cat-260nw-1506367775_jpg.rf.0d6451f6a2c8760a8d03e6b7d6002b37.jpg,adorable-female-american-shorthair-cat-260nw-1506367775_jpg.rf.0d6451f6a2c8760a8d03e6b7d6002b37.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,11.330078125,True
data\test\cat - american shorthair\american-short-hair-kitten-standing-260nw-98690369_jpg.rf.efe2eb2cfffa32e79f6b78be6afb775f.jpg,american-short-hair-kitten-standing-260nw-98690369_jpg.rf.efe2eb2cfffa32e79f6b78be6afb775f.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,8.9267578125,True
data\test\cat - american shorthair\american-shorthair-cat-260nw-1026244186_jpg.rf.730667b8117da46d28fd78e592a9e3f6.jpg,american-shorthair-cat-260nw-1026244186_jpg.rf.730667b8117da46d28fd78e592a9e3f6.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,8.2392578125,True
data\test\cat - american shorthair\american-shorthair-cat-260nw-188511359_jpg.rf.cfbabda45ccc9b134e95692e6bb75ded.jpg,american-shorthair-cat-260nw-188511359_jpg.rf.cfbabda45ccc9b134e95692e6bb75ded.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,4.783203125,True
data\test\cat - american shorthair\american-shorthair-cat-260nw-749608777_jpg.rf.8315906678c8c4712560bcf534f2c870.jpg,american-shorthair-cat-260nw-749608777_jpg.rf.8315906678c8c4712560bcf534f2c870.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,5.8642578125,True
data\test\cat - american shorthair\american-shorthair-cat-family-mom-260nw-385396837_jpg.rf.dcf6f70520a6e39b079333d73c8f6134.jpg,american-shorthair-cat-family-mom-260nw-385396837_jpg.rf.dcf6f70520a6e39b079333d73c8f6134.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,7.833984375,True
data\test\cat - american shorthair\american-shorthair-kitten-260nw-1151785955_jpg.rf.ed105c56f1fdbb719214ce26b2ee058b.jpg,american-shorthair-kitten-260nw-1151785955_jpg.rf.ed105c56f1fdbb719214ce26b2ee058b.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,6.0908203125,True
data\test\cat - american shorthair\American-Shorthair-with-green-eyes-1-1024x683_jpg.rf.600dec7e3bb568fc2de9736920451ef1.jpg,American-Shorthair-with-green-eyes-1-1024x683_jpg.rf.600dec7e3bb568fc2de9736920451ef1.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,8.501953125,True
data\test\cat - american shorthair\cat-american-shorthair-260nw-164924147_jpg.rf.32ccc0335516cd4b7c30ceb55ce22173.jpg,cat-american-shorthair-260nw-164924147_jpg.rf.32ccc0335516cd4b7c30ceb55ce22173.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,10.4794921875,True
data\test\cat - american shorthair\cat-meows-gray-tabby-shorthair-260nw-283946393_jpg.rf.68ef20b6e529a5df5f77869d19943ff8.jpg,cat-meows-gray-tabby-shorthair-260nw-283946393_jpg.rf.68ef20b6e529a5df5f77869d19943ff8.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,6.578125,True
data\test\cat - american shorthair\cute-american-shorthair-cat-kitten-260nw-352176329_jpg.rf.2f5764f68ce37ee95cfac55816e1b028.jpg,cute-american-shorthair-cat-kitten-260nw-352176329_jpg.rf.2f5764f68ce37ee95cfac55816e1b028.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,6.30859375,True
data\test\cat - american shorthair\cute-american-shorthair-cat-kitten-260nw-476339752_jpg.rf.4c5c98b80430de20a6ff2c4265e92280.jpg,cute-american-shorthair-cat-kitten-260nw-476339752_jpg.rf.4c5c98b80430de20a6ff2c4265e92280.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,6.388671875,True
data\test\cat - american shorthair\cute-american-shorthair-cat-kitten-garden_1150-44085_jpg.rf.77d4bf7aa4292bcffe808d64a9ca0b2b.jpg,cute-american-shorthair-cat-kitten-garden_1150-44085_jpg.rf.77d4bf7aa4292bcffe808d64a9ca0b2b.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,6.8857421875,True
data\test\cat - american shorthair\cute-american-shorthair-cat-kitten-garden_1150-44103_jpg.rf.308e60b45e1651f9d736463e64129c25.jpg,cute-american-shorthair-cat-kitten-garden_1150-44103_jpg.rf.308e60b45e1651f9d736463e64129c25.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,7.826171875,True
data\test\cat - american shorthair\cute-american-shorthair-cat-kitten-picture-id512492940_jpeg.rf.ef77b40e430b6ac93159b8708613c75d.jpg,cute-american-shorthair-cat-kitten-picture-id512492940_jpeg.rf.ef77b40e430b6ac93159b8708613c75d.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,7.048828125,True
data\test\cat - american shorthair\cute-american-shorthair-cat-lyeing-260nw-677328355_jpg.rf.b9d18bf26c2adff855d4910d76893314.jpg,cute-american-shorthair-cat-lyeing-260nw-677328355_jpg.rf.b9d18bf26c2adff855d4910d76893314.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,6.712890625,True
data\test\cat - american shorthair\cute-american-shorthair-kitten-picture-id483422974_jpeg.rf.1e653a94920b560d11e00ffae3c85a0a.jpg,cute-american-shorthair-kitten-picture-id483422974_jpeg.rf.1e653a94920b560d11e00ffae3c85a0a.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,7.1845703125,True
data\test\cat - american shorthair\Jenis-Kucing-American-Shorthair-1_jpg.rf.7871c24c1efc2e633fa5256a5dde4742.jpg,Jenis-Kucing-American-Shorthair-1_jpg.rf.7871c24c1efc2e633fa5256a5dde4742.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,7.7060546875,True
data\test\cat - american shorthair\young-crazy-surprised-cat-make-260nw-794782192_jpg.rf.fb9414528ca25fb0d121bf0ea94d0fa7.jpg,young-crazy-surprised-cat-make-260nw-794782192_jpg.rf.fb9414528ca25fb0d121bf0ea94d0fa7.jpg,test,cat - american shorthair,cat,224,224,1.0,RGB,JPEG,7.9765625,True
data\test\cat - bengal\adorable-bengal-kitten-lying-looking-260nw-519288727_jpg.rf.3ebfa949b0581f53a5351fe9bcac5d0f.jpg,adorable-bengal-kitten-lying-looking-260nw-519288727_jpg.rf.3ebfa949b0581f53a5351fe9bcac5d0f.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,6.5087890625,True
data\test\cat - bengal\bengal-cat-picture-id1041004002_jpeg.rf.dc56d6c09882d66bf72bd29d3dab8bca.jpg,bengal-cat-picture-id1041004002_jpeg.rf.dc56d6c09882d66bf72bd29d3dab8bca.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,6.6689453125,True
data\test\cat - bengal\Bengal_103_jpg.rf.dc8e5212a769d48da8d6477dcd05011e.jpg,Bengal_103_jpg.rf.dc8e5212a769d48da8d6477dcd05011e.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,7.728515625,True
data\test\cat - bengal\Bengal_116_jpg.rf.7ae453b6eaba8cef61b78fbd41a7cb88.jpg,Bengal_116_jpg.rf.7ae453b6eaba8cef61b78fbd41a7cb88.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,12.724609375,True
data\test\cat - bengal\Bengal_139_jpg.rf.316692852cfff3771afc5ea156be7af5.jpg,Bengal_139_jpg.rf.316692852cfff3771afc5ea156be7af5.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,8.1982421875,True
data\test\cat - bengal\Bengal_149_jpg.rf.a1db67849eecda1a2c35fdf3c92ab252.jpg,Bengal_149_jpg.rf.a1db67849eecda1a2c35fdf3c92ab252.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,7.1142578125,True
data\test\cat - bengal\Bengal_172_jpg.rf.56f677eca5daf6dc323019f5fbc1f048.jpg,Bengal_172_jpg.rf.56f677eca5daf6dc323019f5fbc1f048.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,9.1728515625,True
data\test\cat - bengal\Bengal_187_jpg.rf.f6bdcd1197408497c7ace47bd6c17fb4.jpg,Bengal_187_jpg.rf.f6bdcd1197408497c7ace47bd6c17fb4.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,10.3154296875,True
data\test\cat - bengal\Bengal_199_jpg.rf.a0cd8d0e2f94d2de5a1a9ea93de0c46b.jpg,Bengal_199_jpg.rf.a0cd8d0e2f94d2de5a1a9ea93de0c46b.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,9.91796875,True
data\test\cat - bengal\Bengal_23_jpg.rf.11cf446e3476312d80c0ee19107f2544.jpg,Bengal_23_jpg.rf.11cf446e3476312d80c0ee19107f2544.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,20.0419921875,True
data\test\cat - bengal\Bengal_56_jpg.rf.31e052f7fa0c24ff195d99a45abebe57.jpg,Bengal_56_jpg.rf.31e052f7fa0c24ff195d99a45abebe57.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,5.9814453125,True
data\test\cat - bengal\Bengal_67_jpg.rf.446d31d2d8a1e6db141fc8a88b8ed49f.jpg,Bengal_67_jpg.rf.446d31d2d8a1e6db141fc8a88b8ed49f.jpg,test,cat - bengal,cat,224,224,1.0,RGB,JPEG,7.33984375,True
