,precision,recall,f1-score,support
cat - abyssinian,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
cat - american shorthair,0.8260869565217391,0.95,0.8837209302325582,20.0
cat - bengal,0.9473684210526315,0.782608695652174,0.8571428571428571,23.0
cat - birman,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
cat - bombay,1.0,1.0,1.0,13.0
cat - british shorthair,0.7692307692307693,0.8333333333333334,0.8,12.0
cat - egyptian mau,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
cat - maine coon,0.7857142857142857,0.9565217391304348,0.8627450980392157,23.0
cat - mainecoon,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
cat - persian,1.0,0.8181818181818182,0.9,11.0
cat - ragdoll,0.85,0.8292682926829268,0.8395061728395061,41.0
cat - russian blue,0.7777777777777778,0.8235294117647058,0.8,17.0
cat - scottishfold,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
cat - siamese,0.9090909090909091,1.0,0.9523809523809523,10.0
cat - sphinx,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
cat - sphynx,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
dog - afghan,1.0,1.0,1.0,9.0
dog - african wild dog,0.8571428571428571,1.0,0.9230769230769231,6.0
dog - airedale,0.9,1.0,0.9473684210526315,9.0
dog - akita,1.0,1.0,1.0,3.0
dog - american hairless,1.0,0.6666666666666666,0.8,9.0
dog - american spaniel,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
dog - aspin,1.0,1.0,1.0,3.0
dog - basenji,1.0,0.8888888888888888,0.9411764705882353,9.0
dog - basset,1.0,1.0,1.0,15.0
dog - beagle,1.0,0.8571428571428571,0.9230769230769231,14.0
dog - bearded collie,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
dog - bermaise,1.0,1.0,1.0,5.0
dog - bernard-dog - saint,1.0,1.0,1.0,1.0
dog - bernese mountain,1.0,1.0,1.0,2.0
dog - bichon frise,1.0,1.0,1.0,2.0
dog - blenheim,0.8,0.5714285714285714,0.6666666666666666,7.0
dog - bloodhound,1.0,1.0,1.0,9.0
dog - bluetick,0.8888888888888888,1.0,0.9411764705882353,8.0
dog - border collie,0.625,0.8333333333333334,0.7142857142857143,6.0
dog - border-dog - collie,1.0,1.0,1.0,4.0
dog - borzoi,1.0,0.75,0.8571428571428571,8.0
dog - boston terrier,0.5,1.0,0.6666666666666666,5.0
dog - boxer,1.0,0.875,0.9333333333333333,8.0
dog - bull mastiff,1.0,1.0,1.0,6.0
dog - bull terrier,1.0,1.0,1.0,5.0
dog - bulldog,1.0,0.6,0.75,10.0
dog - bulldong-dog - french,1.0,1.0,1.0,3.0
dog - cairn,1.0,1.0,1.0,10.0
dog - cavalier-dog - charles-dog - king-dog - spaniel,1.0,1.0,1.0,3.0
dog - chihuahua,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
dog - chinese crested,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
dog - chow,1.0,1.0,1.0,8.0
dog - clumber,1.0,1.0,1.0,6.0
dog - coated-dog - flat-dog - retriever,0.8571428571428571,1.0,0.9230769230769231,6.0
dog - cockapoo,1.0,0.5714285714285714,0.7272727272727273,7.0
dog - cocker,0.6666666666666666,0.8,0.7272727272727273,5.0
dog - collie,1.0,0.7,0.8235294117647058,10.0
dog - corgi,1.0,0.9230769230769231,0.96,13.0
dog - coyote,1.0,1.0,1.0,5.0
dog - dachshund,1.0,1.0,1.0,4.0
dog - dalmatian,1.0,1.0,1.0,10.0
dog - dhole,1.0,1.0,1.0,7.0
dog - dingo,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
dog - doberman,0.75,0.9375,0.8333333333333334,16.0
dog - doberman-dog - pinscher,1.0,0.5,0.6666666666666666,6.0
dog - elk hound,0.75,1.0,0.8571428571428571,6.0
dog - french bulldog,1.0,1.0,1.0,3.0
dog - german sheperd,1.0,0.375,0.5454545454545454,8.0
dog - german-dog - sheperd,0.6666666666666666,1.0,0.8,2.0
dog - golden retriever,0.9090909090909091,1.0,0.9523809523809523,10.0
dog - golden-dog - retriever,1.0,1.0,1.0,5.0
dog - great dane,0.8888888888888888,0.7272727272727273,0.8,11.0
dog - great perenees,1.0,0.8571428571428571,0.9230769230769231,7.0
dog - greyhound,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
dog - groenendael,0.9090909090909091,1.0,0.9523809523809523,10.0
dog - havanese,1.0,0.6666666666666666,0.8,3.0
dog - husky-dog - siberian,1.0,0.6666666666666666,0.8,3.0
dog - irish spaniel,0.8571428571428571,1.0,0.9230769230769231,6.0
dog - irish wolfhound,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
dog - japanese spaniel,0.7777777777777778,0.875,0.8235294117647058,8.0
dog - komondor,0.8571428571428571,1.0,0.9230769230769231,6.0
dog - labradoodle,0.5714285714285714,0.8,0.6666666666666666,5.0
dog - labrador,0.8333333333333334,1.0,0.9090909090909091,5.0
dog - labrador-dog - retriever,0.0,0.0,0.0,1.0
dog - lhasa,0.7142857142857143,0.5555555555555556,0.625,9.0
dog - malinois,0.75,1.0,0.8571428571428571,3.0
dog - maltese,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
dog - mex hairless,0.75,1.0,0.8571428571428571,6.0
dog - miniature-dog - schnauzer,1.0,1.0,1.0,1.0
dog - newfoundland,1.0,1.0,1.0,5.0
dog - pekinese,0.5,0.5,0.5,2.0
dog - pit bull,1.0,0.9333333333333333,0.9655172413793104,15.0
dog - pomeranian,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
dog - poodle,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
dog - pug,0.9166666666666666,1.0,0.9565217391304348,11.0
dog - rhodesian,0.9,1.0,0.9473684210526315,9.0
dog - rottweiler,0.9090909090909091,1.0,0.9523809523809523,10.0
dog - saint bernard,1.0,0.75,0.8571428571428571,4.0
dog - schnauzer,0.9,0.9,0.9,10.0
dog - scotch terrier,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
dog - shar pei,1.0,1.0,1.0,5.0
dog - sheepdog-dog - shetland,1.0,1.0,1.0,2.0
dog - shiba inu,0.8571428571428571,1.0,0.9230769230769231,6.0
dog - shih-dog - tzu,1.0,1.0,1.0,3.0
dog - shih-tzu,0.6923076923076923,0.8181818181818182,0.75,11.0
dog - siberian husky,0.7272727272727273,0.8888888888888888,0.8,9.0
dog - vizsla,1.0,1.0,1.0,4.0
dog - yorkie,1.0,1.0,1.0,13.0
accuracy,0.875560538116592,0.875560538116592,0.875560538116592,0.875560538116592
macro avg,0.8882052377856566,0.8799878937557872,0.8749938127413905,892.0
weighted avg,0.8887250822414392,0.875560538116592,0.873958546791524,892.0
